月数,人口,单岗研究,总研究,单岗超然逻辑,总超然逻辑,单岗能量币维护,总岗能量币维护,人口净化进度,产生人口净化进度,人口增长进度,产生人口增长进度,帝国人口
0,5000,38796.0,193980000.0,1262.890625,6314453.125,678.1250000000001,3390625.0000000005,0,9176.0,0,1465,7200
1,4910,37434.989062500004,183805796.29687503,1218.06359375,5980692.245312501,665.91875,3269661.0625,76.0,9009.5,645.0,1465,7110
2,4822,36127.718812499996,174207860.11387497,1175.0159187499999,5665926.7602125,653.9837500000001,3153509.6425000005,85.5,8846.7,488.0,1465,7022
3,4735,34858.141406250004,165053299.55859378,1133.2186718750002,5365790.411328126,642.184375,3040743.015625,32.20000000000073,8685.75,348.5999999999999,1465,6935
4,4650,33639.6796875,156424510.546875,1093.11328125,5082976.7578125,630.6562500000001,2932551.5625000005,17.950000000000728,8528.5,226.5999999999999,1465,6850
5,4567,32470.80365625,148294160.29809374,1054.6487468750001,4816580.826978126,619.3993750000002,2828796.945625001,46.45000000000073,8374.95,121.59999999999991,1465,6767
6,4485,31336.30546875,140543330.02734375,1017.324140625,4562698.770703125,608.278125,2728127.390625,21.400000000001455,8223.25,33.19999999999982,1465,6685
7,4404,30235.447125,133156909.13849999,981.1148625,4320829.8544499995,597.2925000000001,2630476.1700000004,44.650000000001455,8073.400000000001,729.6999999999998,1465,6604
8,4325,29180.73046875,126206659.27734375,946.431640625,4093316.845703125,586.5781250000001,2536950.3906250005,18.050000000002,7927.25,673.8999999999996,1465,6525
9,4248,28170.7335,119669275.90799999,913.2270750000001,3879388.6146000004,576.1350000000001,2447421.4800000004,45.300000000002,7784.8,633.8999999999996,1465,6448
10,4172,27191.295374999998,113442084.30449998,881.0351374999999,3675678.5936499997,565.8275000000001,2360632.3300000005,30.100000000002183,7644.200000000001,609.2999999999995,1465,6372
11,4098,26254.2819375,107590047.379875,850.2453562500002,3484305.469912501,555.7912500000001,2277632.5425000004,74.30000000000291,7507.3,599.8999999999992,1465,6298
